,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2011,0.0,16.0,106.0,122.0
1,1,Asia,2012,0.0,38.0,140.0,178.0
2,2,Asia,2013,7.0,70.0,301.0,378.0
3,3,Asia,2014,15.0,175.0,336.0,526.0
4,4,Asia,2015,2.0,32.0,312.0,346.0
5,5,Asia,2016,2.0,39.0,247.0,288.0
6,6,Asia,2017,1.0,31.0,218.0,250.0
7,7,Asia,2018,4.0,21.0,334.0,359.0
8,8,Asia,2019,16.0,55.0,586.0,657.0
9,9,Asia,2020,10.0,111.0,343.0,464.0
10,10,Asia,2021,32.0,252.0,985.0,1269.0
11,11,Asia,2022,29.0,413.0,1279.0,1721.0
