,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2012,0.0,0.0,3.0,3.0
1,1,Asia,2013,0.0,0.0,8.0,8.0
2,2,Asia,2014,0.0,5.0,38.0,43.0
3,3,Asia,2015,1.0,47.0,98.0,146.0
4,4,Asia,2016,2.0,112.0,130.0,244.0
5,5,Asia,2017,8.0,160.0,136.0,304.0
6,6,Asia,2018,12.0,229.0,248.0,489.0
7,7,Asia,2019,10.0,308.0,379.0,697.0
8,8,Asia,2020,6.0,64.0,129.0,199.0
9,9,Asia,2021,19.0,150.0,373.0,542.0
10,10,Asia,2022,19.0,268.0,485.0,772.0
