,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2011,2.0,44.0,59.0,105.0
1,1,Asia,2012,1.0,61.0,82.0,144.0
2,2,Asia,2013,2.0,63.0,96.0,161.0
3,3,Asia,2014,1.0,45.0,82.0,128.0
4,4,Asia,2015,1.0,103.0,107.0,211.0
5,5,Asia,2016,0.0,39.0,57.0,96.0
6,6,Asia,2017,22.0,72.0,48.0,142.0
7,7,Asia,2018,11.0,75.0,131.0,217.0
8,8,Asia,2019,9.0,74.0,158.0,241.0
9,9,Asia,2020,18.0,83.0,248.0,349.0
10,10,Asia,2021,36.0,170.0,338.0,544.0
11,11,Asia,2022,101.0,589.0,879.0,1569.0
